timestamp,device_id,device_type,src_ip,dst_ip,proto,service,conn_state,duration,orig_bytes,resp_bytes,orig_pkts,resp_pkts,orig_ip_bytes,resp_ip_bytes,label,proto_encoded,service_encoded,conn_state_encoded,bytes_ratio,pkts_ratio,bytes_per_second,pkts_per_second,label_encoded
2025-12-05 17:14:30,camera_01,smart_camera,192.168.1.101,192.168.1.1,udp,https,SF,9.627,1253,234,16,4,1928,2454,benign,1,2,4,5.3319148936170215,3.2,130.14125467386788,1.6618196925633568,0
2025-12-05 18:06:26,light_01,smart_light,192.168.1.106,192.168.1.1,tcp,https,SF,16.229,441,2429,1,23,2359,4146,benign,0,2,4,0.1814814814814815,0.041666666666666664,27.171903881700555,0.061614294516327786,0
2025-12-05 16:28:00,doorlock_02,smart_doorlock,192.168.1.104,192.168.1.1,udp,https,SF,11.088,1531,3281,6,20,509,4839,benign,1,2,4,0.4664838513101767,0.2857142857142857,138.06474885021194,0.5410767427180089,0
2025-12-06 00:43:32,light_01,smart_light,192.168.1.106,192.168.1.1,tcp,http,SF,3.984,1051,293,2,3,524,4600,benign,0,1,4,3.574829931972789,0.5,263.73902132998745,0.5018820577164367,0
2025-12-05 16:45:39,light_01,smart_light,192.168.1.106,192.168.1.1,udp,http,SF,12.993,1474,2421,11,25,1543,456,benign,1,1,4,0.6085879438480595,0.4230769230769231,113.43697090965061,0.8465445590272433,0
2025-12-05 20:47:18,doorlock_01,smart_doorlock,192.168.1.103,192.168.1.1,udp,http,SF,19.389,1249,2515,2,3,577,2734,benign,1,1,4,0.49642289348171703,0.5,64.41464672511604,0.10314595152140278,0
2025-12-05 16:37:30,speaker_01,smart_speaker,192.168.1.108,192.168.1.1,udp,https,SF,12.275,475,840,18,12,1390,3598,benign,1,2,4,0.5648038049940547,1.3846153846153846,38.69338546757902,1.466275659824047,0
2025-12-05 21:17:06,doorlock_02,smart_doorlock,192.168.1.104,192.168.1.1,udp,http,SF,16.615,1666,3018,11,19,439,3856,benign,1,1,4,0.5518383570718781,0.55,100.26480500722195,0.6620125180548869,0
2025-12-06 07:24:45,doorlock_01,smart_doorlock,192.168.1.103,192.168.1.1,tcp,http,SF,27.959,1302,2443,7,9,584,3301,benign,0,1,4,0.532733224222586,0.7,46.566523605150216,0.2503576537911302,0
2025-12-05 15:52:15,light_01,smart_light,192.168.1.106,192.168.1.1,tcp,http,SF,29.628,1423,4036,16,6,1822,3426,benign,0,1,4,0.35248947238048056,2.2857142857142856,48.02727057949981,0.540011475243849,0
2025-12-05 17:47:48,speaker_01,smart_speaker,192.168.1.108,192.168.1.1,tcp,http,SF,15.589,1444,1802,4,15,1984,4954,benign,0,1,4,0.8008874098724348,0.25,92.62347658755613,0.25657472738935216,0
2025-12-06 08:08:34,thermostat_01,smart_thermostat,192.168.1.105,192.168.1.1,udp,mqtt,SF,11.305,503,3712,3,13,1981,4737,benign,1,3,4,0.13546997037436034,0.21428571428571427,44.489651512471255,0.26534583407040513,0
2025-12-06 04:41:06,speaker_01,smart_speaker,192.168.1.108,192.168.1.1,tcp,http,SF,19.348,815,1887,11,2,2009,3240,benign,0,1,4,0.4316737288135593,3.6666666666666665,42.12103984702052,0.5685048322910745,0
2025-12-05 20:12:57,light_01,smart_light,192.168.1.106,192.168.1.1,tcp,http,SF,3.946,1426,3160,19,1,515,2397,benign,0,1,4,0.45112306232204996,9.5,361.28705345832276,4.813782619711173,0
2025-12-05 16:36:57,thermostat_01,smart_thermostat,192.168.1.105,192.168.1.1,udp,https,SF,28.786,1676,3189,20,6,1862,2067,benign,1,2,4,0.5253918495297806,2.857142857142857,58.22072463264668,0.6947580505089103,0
2025-12-06 03:14:09,doorlock_02,smart_doorlock,192.168.1.104,192.168.1.1,tcp,https,SF,14.09,1939,3316,16,25,539,4450,benign,0,2,4,0.584564365390413,0.6153846153846154,137.60556383507205,1.135476545312611,0
2025-12-05 16:38:12,speaker_01,smart_speaker,192.168.1.108,192.168.1.1,udp,https,SF,26.293,571,3173,2,23,778,728,benign,1,2,4,0.17989918084436043,0.08333333333333333,21.715980832129002,0.07606298014756219,0
2025-12-05 17:31:18,camera_02,smart_camera,45.33.32.156,192.168.1.102,tcp,https,RSTO,57.208,1257,368,18,11,952,369,unauthorized,0,2,1,3.4065040650406506,1.5,21.972067332063137,0.31463580905102345,4
2025-12-06 03:15:24,camera_02,smart_camera,192.168.1.102,192.168.1.1,udp,https,SF,5.299,89,1960,11,25,2290,1031,benign,1,2,4,0.04538500764915859,0.4230769230769231,16.792452830188676,2.075471698113207,0
2025-12-05 15:30:34,speaker_01,smart_speaker,198.51.100.2,192.168.1.108,udp,-,RSTOS0,0.477,138,28,5,1,246,15,ddos,1,0,2,4.758620689655173,2.5,288.7029288702929,10.460251046025105,1
2025-12-05 17:48:26,camera_02,smart_camera,45.33.32.156,192.168.1.102,tcp,http,RSTO,37.877,661,590,11,19,1120,551,unauthorized,0,1,1,1.1184433164128595,0.55,17.4507629758699,0.2904060404456413,4
2025-12-05 16:45:16,doorlock_01,smart_doorlock,192.168.1.103,192.168.1.1,tcp,mqtt,SF,24.447,1630,868,15,1,1023,468,benign,0,3,4,1.8757192174913695,7.5,66.67212041884817,0.6135471204188482,0
2025-12-05 18:04:58,doorlock_01,smart_doorlock,192.168.1.103,192.168.1.1,udp,https,SF,23.532,214,1669,13,1,1977,1375,benign,1,2,4,0.1281437125748503,6.5,9.093613223983342,0.552415756597119,0
2025-12-05 22:28:18,camera_01,smart_camera,192.168.1.101,104.16.123.96,tcp,-,SF,4.517,184,95,8,4,169,319,mirai,0,0,4,1.9166666666666667,1.6,40.72598494909251,1.770694997786631,3
2025-12-06 01:07:27,thermostat_01,smart_thermostat,192.168.1.105,192.168.1.1,udp,http,SF,2.006,316,1177,12,25,1820,2323,benign,1,1,4,0.26825127334465193,0.46153846153846156,157.44892874937722,5.979073243647235,0
